"ref_code","ref_desc","tbl_code","parent_code","parent_tbl"
"rse1986","Research Selectivity Exercise 1986","rae",NA,NA
"rse1989","Research Selectivity Exercise 1989","rae",NA,NA
"rae1992","Research Assessment Exercise 1992","rae",NA,NA
"rae1996","Research Assessment Exercise 1996","rae",NA,NA
"rae2001","Research Assessment Exercise 2001","rae",NA,NA
"rae2008","Research Assessment Exercise 2008","rae",NA,NA
"ref2014","Research Excellence Framework 2014","rae",NA,NA
"ref2021","Research Excellence Framework 2021","rae",NA,NA
"A","Medicine, health and life sciences","ref_2021_mp","ref2021","rae"
"A","Medicine, health and life sciences","ref_2014_mp","ref2014","rae"
"B","Physical sciences, engineering and mathematics","ref_2021_mp","ref2021","rae"
"B","Physical sciences, engineering and mathematics","ref_2014_mp","ref2014","rae"
"C","Social sciences","ref_2021_mp","ref2021","rae"
"C","Social sciences","ref_2014_mp","ref2014","rae"
"D","Arts and humanities","ref_2021_mp","ref2021","rae"
"D","Arts and humanities","ref_2014_mp","ref2014","rae"
"1","Clinical Medicine","ref_2021_uoa","A","ref_2021_mp"
"2","Public Health, Health Services and Primary Care","ref_2021_uoa","A","ref_2021_mp"
"3","Allied Health Professions, Dentistry, Nursing and Pharmacy","ref_2021_uoa","A","ref_2021_mp"
"4","Psychology, Psychiatry and Neuroscience","ref_2021_uoa","A","ref_2021_mp"
"5","Biological Sciences","ref_2021_uoa","A","ref_2021_mp"
"6","Agriculture, Veterinary and Food Science","ref_2021_uoa","A","ref_2021_mp"
"7","Earth Systems and Environmental Sciences","ref_2021_uoa","B","ref_2021_mp"
"8","Chemistry","ref_2021_uoa","B","ref_2021_mp"
"9","Physics","ref_2021_uoa","B","ref_2021_mp"
"10","Mathematical Sciences","ref_2021_uoa","B","ref_2021_mp"
"11","Computer Science and Informatics","ref_2021_uoa","B","ref_2021_mp"
"12","General Engineering","ref_2021_uoa","B","ref_2021_mp"
"13","Architecture, Built Environment and Planning","ref_2021_uoa","C","ref_2021_mp"
"14","Geography Environmental Studies and Archaeology","ref_2021_uoa","C","ref_2021_mp"
"15","Archaeology","ref_2021_uoa","C","ref_2021_mp"
"16","Economics and Econometrics","ref_2021_uoa","C","ref_2021_mp"
"17","Business and Management Studies","ref_2021_uoa","C","ref_2021_mp"
"18","Law","ref_2021_uoa","C","ref_2021_mp"
"19","Politics and International Studies","ref_2021_uoa","C","ref_2021_mp"
"20","Social Work and Social Policy","ref_2021_uoa","C","ref_2021_mp"
"21","Sociology","ref_2021_uoa","C","ref_2021_mp"
"22","Anthropology and Development Studies","ref_2021_uoa","C","ref_2021_mp"
"23","Education","ref_2021_uoa","C","ref_2021_mp"
"24","Sport and Exercise Sciences, Leisure and Tourism","ref_2021_uoa","C","ref_2021_mp"
"25","Area Studies","ref_2021_uoa","D","ref_2021_mp"
"26","Modern Languages and Linguistics","ref_2021_uoa","D","ref_2021_mp"
"27","English Language and Literature","ref_2021_uoa","D","ref_2021_mp"
"28","History","ref_2021_uoa","D","ref_2021_mp"
"29","Classics","ref_2021_uoa","D","ref_2021_mp"
"30","Philosophy","ref_2021_uoa","D","ref_2021_mp"
"31","Theology and Religious Studies","ref_2021_uoa","D","ref_2021_mp"
"32","Art and Design: History, Practice and Theory","ref_2021_uoa","D","ref_2021_mp"
"33","Music, Drama, Dance and Performing Arts, Film and Screen Studies","ref_2021_uoa","D","ref_2021_mp"
"34","Communication, Cultural and Media Studies, Library and Information Management","ref_2021_uoa","D","ref_2021_mp"
"1","Clinical Medicine","ref_2014_uoa","A","ref_2014_mp"
"2","Public Health, Health Services and Primary Care","ref_2014_uoa","A","ref_2014_mp"
"3","Allied Health Professions, Dentistry, Nursing and Pharmacy","ref_2014_uoa","A","ref_2014_mp"
"4","Psychology, Psychiatry and Neuroscience","ref_2014_uoa","A","ref_2014_mp"
"5","Biological Sciences","ref_2014_uoa","A","ref_2014_mp"
"6","Agriculture, Veterinary and Food Science","ref_2014_uoa","A","ref_2014_mp"
"7","Earth Systems and Environmental Sciences","ref_2014_uoa","B","ref_2014_mp"
"8","Chemistry","ref_2014_uoa","B","ref_2014_mp"
